LS 53235,BP 938.450,BH 28.580,BT 15.300,DH 64.400,DT 4.900,GT 23:34:57,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.1000
LS 53240,BP 938.470,BH 28.590,BT 15.300,DH 64.500,DT 4.900,GT 23:35:2,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.1000
LS 53245,BP 938.480,BH 28.560,BT 15.290,DH 64.500,DT 4.900,GT 23:35:7,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.1000
LS 53250,BP 938.520,BH 28.590,BT 15.300,DH 64.500,DT 4.900,GT 23:35:12,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.1000
LS 53255,BP 938.530,BH 28.580,BT 15.300,DH 64.500,DT 4.900,GT 23:35:17,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.2000
LS 53260,BP 938.500,BH 28.590,BT 15.280,DH 64.500,DT 4.900,GT 23:35:22,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.2000
LS 53265,BP 938.490,BH 28.590,BT 15.290,DH 64.500,DT 4.900,GT 23:35:27,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.2000
LS 53270,BP 938.460,BH 28.600,BT 15.260,DH 64.500,DT 4.800,GT 23:35:32,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.2000
LS 53275,BP 938.500,BH 28.580,BT 15.270,DH 64.500,DT 4.800,GT 23:35:37,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.3000
LS 53280,BP 938.490,BH 28.600,BT 15.260,DH 64.500,DT 4.800,GT 23:35:42,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.3000
LS 53285,BP 938.480,BH 28.590,BT 15.260,DH 64.500,DT 4.800,GT 23:35:47,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.3000
